Area,Year,Age,Sex,Value,Flags
"Westland District","2013","20-24 years","Male",369,
"Westland District","2013","20-24 years","Female",351,
"Hurunui District","2013","20-24 years","Total people, sex",537,
"Hurunui District","2013","20-24 years","Male",267,
"Hurunui District","2013","20-24 years","Female",270,
"Waimakariri District","2013","20-24 years","Total people, sex",2253,
"Waimakariri District","2013","20-24 years","Male",1218,
"Waimakariri District","2013","20-24 years","Female",1038,
"Christchurch City","2013","20-24 years","Total people, sex",28155,
"Christchurch City","2013","20-24 years","Male",14829,
"Christchurch City","2013","20-24 years","Female",13323,
"Selwyn District","2013","20-24 years","Total people, sex",2664,
"Selwyn District","2013","20-24 years","Male",1497,
"Selwyn District","2013","20-24 years","Female",1164,
"Ashburton District","2013","20-24 years","Total people, sex",1860,
"Ashburton District","2013","20-24 years","Male",1047,
"Ashburton District","2013","20-24 years","Female",813,
"Timaru District","2013","20-24 years","Total people, sex",2208,
"Timaru District","2013","20-24 years","Male",1083,
"Timaru District","2013","20-24 years","Female",1125,
"Mackenzie District","2013","20-24 years","Total people, sex",366,
"Mackenzie District","2013","20-24 years","Male",195,
"Mackenzie District","2013","20-24 years","Female",174,
"Waimate District","2013","20-24 years","Total people, sex",336,
"Waimate District","2013","20-24 years","Male",177,
"Waimate District","2013","20-24 years","Female",159,
"Chatham Islands Territory","2013","20-24 years","Total people, sex",33,
"Chatham Islands Territory","2013","20-24 years","Male",24,
"Chatham Islands Territory","2013","20-24 years","Female",9,
"Waitaki District","2013","20-24 years","Total people, sex",948,
"Waitaki District","2013","20-24 years","Male",486,
"Waitaki District","2013","20-24 years","Female",465,
"Central Otago District","2013","20-24 years","Total people, sex",768,
"Central Otago District","2013","20-24 years","Male",435,
"Central Otago District","2013","20-24 years","Female",333,
"Queenstown-Lakes District","2013","20-24 years","Total people, sex",2892,
"Queenstown-Lakes District","2013","20-24 years","Male",1392,
"Queenstown-Lakes District","2013","20-24 years","Female",1503,
"Dunedin City","2013","20-24 years","Total people, sex",14019,
"Dunedin City","2013","20-24 years","Male",6750,
"Dunedin City","2013","20-24 years","Female",7266,
"Clutha District","2013","20-24 years","Total people, sex",915,
"Clutha District","2013","20-24 years","Male",522,
"Clutha District","2013","20-24 years","Female",393,
"Southland District","2013","20-24 years","Total people, sex",1833,
"Southland District","2013","20-24 years","Male",984,
"Southland District","2013","20-24 years","Female",846,
"Gore District","2013","20-24 years","Total people, sex",627,
"Gore District","2013","20-24 years","Male",330,
"Gore District","2013","20-24 years","Female",300,
"Invercargill City","2013","20-24 years","Total people, sex",3426,
"Invercargill City","2013","20-24 years","Male",1686,
"Invercargill City","2013","20-24 years","Female",1737,
"Area outside territorial authority","2013","20-24 years","Total people, sex",60,
"Area outside territorial authority","2013","20-24 years","Male",45,
"Area outside territorial authority","2013","20-24 years","Female",12,
