Year,Welfare,Health,Education,GovernmentServices,LawAndOrder,Defence,TransportAndCommunications,EconomicAndIndustrial,CultureAndOther,FinanceCosts
2001,0.1140431865,0.0551119202,0.0507757872,0.0177748355,0.0127518722,0.0102776284,0.0074889321,0.0085812404,0.0066531507,0.0190657454
2002,0.1100051715,0.054624264,0.0502819768,0.0146814361,0.0134618671,0.0090263644,0.0076825081,0.0078689391,0.0073096462,0.01645253
2003,0.1064506767,0.0552629059,0.0516897144,0.0156925729,0.0127750805,0.0088335187,0.0103733064,0.007765245,0.0077136732,0.0173870761
2004,0.1013994119,0.0554079256,0.0518147103,0.0142840553,0.0125899158,0.0089557133,0.0099803944,0.0081427996,0.0081496308,0.0153838797
2005,0.0991170174,0.0567219319,0.0510387972,0.0165216384,0.0127243004,0.0082061118,0.0105231316,0.0092938239,0.0101691424,0.0146358417
2006,0.1002736292,0.0585192132,0.0607687734,0.0153668867,0.0136996377,0.0084772255,0.0111435979,0.0097583102,0.0098613957,0.0144413184
2007,0.1004806777,0.0597529097,0.0534862115,0.0277904407,0.0155744185,0.008753758,0.013877909,0.0092038523,0.0092615567,0.0134393556
2008,0.0999693098,0.0608258358,0.0514249409,0.0181502959,0.0155820102,0.0084101935,0.0120822498,0.0155550889,0.0116407415,0.0132452471
2009,0.1078289976,0.0665583193,0.0616450151,0.0284842484,0.0166234353,0.0094552852,0.0143309188,0.0159292226,0.010499295,0.0130716492
2010,0.1117935926,0.0682204381,0.060924468,0.0154545691,0.0165822226,0.0094265596,0.0121859329,0.0147530335,0.0112973212,0.0120092499
2011,0.1110519321,0.068457966,0.0579899152,0.0276908067,0.0168344973,0.0090046143,0.011354077,0.0129867544,0.0200450977,0.0152615519
2012,0.1062237966,0.0676925725,0.0557125169,0.0259488194,0.0162682079,0.0082990329,0.0106701852,0.010311644,0.0123099134,0.0167845072
2013,0.1084316373,0.0682191407,0.0588365385,0.0200874267,0.0162619224,0.0084885729,0.0106107161,0.0093073155,0.0135468965,0.0170289054
2014,0.1028300858,0.0650156015,0.0536778023,0.0196469484,0.0152785354,0.0079032927,0.0097623775,0.0089812128,0.0129917738,0.0157978573
